Timestamp,Raw,Voltage,Label
2025-09-25T19:38:49.431130,33,0.027,Grip
2025-09-25T19:38:49.431458,115,0.093,Grip
2025-09-25T19:38:49.431835,68,0.055,Grip
2025-09-25T19:38:49.432125,96,0.077,Grip
2025-09-25T19:38:49.432351,57,0.046,Grip
2025-09-25T19:38:49.432525,7,0.006,Grip
2025-09-25T19:38:49.432676,21,0.017,Grip
2025-09-25T19:38:49.432813,67,0.054,Grip
2025-09-25T19:38:49.432942,22,0.018,Grip
2025-09-25T19:38:49.433065,90,0.073,Grip
2025-09-25T19:38:49.433245,112,0.09,Grip
2025-09-25T19:38:49.433436,76,0.061,Grip
2025-09-25T19:38:49.433604,7,0.006,Grip
2025-09-25T19:38:49.433855,94,0.076,Grip
2025-09-25T19:38:49.434005,63,0.051,Grip
2025-09-25T19:38:49.434156,111,0.089,Grip
2025-09-25T19:38:49.434287,26,0.021,Grip
2025-09-25T19:38:49.434536,13,0.01,Grip
2025-09-25T19:38:49.434705,51,0.041,Grip
2025-09-25T19:38:49.435398,9,0.056,Grip
2025-09-25T19:38:49.435576,57,0.046,Grip
2025-09-25T19:38:49.435698,62,0.05,Grip
2025-09-25T19:38:49.435821,55,0.044,Grip
2025-09-25T19:38:49.435949,3,0.002,Grip
2025-09-25T19:38:49.436061,0,0.0,Grip
2025-09-25T19:38:49.436174,1,0.001,Grip
2025-09-25T19:38:49.436284,0,0.0,Grip
2025-09-25T19:38:49.436408,65,0.052,Grip
2025-09-25T19:38:49.436530,0,0.0,Grip
2025-09-25T19:38:49.436653,1,0.001,Grip
2025-09-25T19:38:49.436786,41,0.033,Grip
2025-09-25T19:38:49.436913,40,0.032,Grip
2025-09-25T19:38:49.437037,87,0.07,Grip
2025-09-25T19:38:49.437157,0,0.0,Grip
2025-09-25T19:38:49.437278,0,0.0,Grip
2025-09-25T19:38:49.437401,15,0.012,Grip
2025-09-25T19:38:49.437551,3,0.002,Grip
2025-09-25T19:38:49.437681,39,0.031,Grip
2025-09-25T19:38:49.437802,41,0.033,Grip
2025-09-25T19:38:49.437916,0,0.0,Grip
2025-09-25T19:38:49.438035,28,0.023,Grip
2025-09-25T19:38:49.438155,10,0.008,Grip
2025-09-25T19:38:49.438279,48,0.039,Grip
2025-09-25T19:38:49.438393,0,0.0,Grip
2025-09-25T19:38:49.438514,0,0.0,Grip
2025-09-25T19:38:49.438625,0,0.0,Grip
2025-09-25T19:38:49.438740,0,0.0,Grip
2025-09-25T19:38:49.438927,0,0.0,Grip
2025-09-25T19:38:49.439081,0,0.0,Grip
2025-09-25T19:38:49.439229,1134,0.914,Grip
2025-09-25T19:38:49.439352,0,0.0,Grip
2025-09-25T19:38:49.439492,2627,2.117,Grip
2025-09-25T19:38:49.439622,986,0.795,Grip
2025-09-25T19:38:49.439752,322,0.259,Grip
2025-09-25T19:38:49.439874,16,0.013,Grip
2025-09-25T19:38:49.439983,0,0.0,Grip
2025-09-25T19:38:49.440097,0,0.0,Grip
2025-09-25T19:38:49.440204,0,0.0,Grip
2025-09-25T19:38:49.440322,16,0.013,Grip
2025-09-25T19:38:49.440441,19,0.015,Grip
2025-09-25T19:38:49.440550,5,0.004,Grip
2025-09-25T19:38:49.440662,0,0.0,Grip
2025-09-25T19:38:49.440778,90,0.073,Grip
2025-09-25T19:38:49.440901,0,0.0,Grip
2025-09-25T19:38:49.441026,16,0.013,Grip
2025-09-25T19:38:49.441145,18,0.015,Grip
2025-09-25T19:38:49.441263,11,0.009,Grip
2025-09-25T19:38:49.441379,48,0.039,Grip
2025-09-25T19:38:49.441488,0,0.0,Grip
2025-09-25T19:38:49.441595,0,0.0,Grip
2025-09-25T19:38:49.441712,14,0.011,Grip
2025-09-25T19:38:49.441823,0,0.0,Grip
2025-09-25T19:38:49.441931,0,0.0,Grip
2025-09-25T19:38:49.442042,0,0.0,Grip
2025-09-25T19:38:49.442159,15,0.012,Grip
2025-09-25T19:38:49.442287,240,0.193,Grip
2025-09-25T19:38:49.442415,113,0.091,Grip
2025-09-25T19:38:49.442546,1418,1.143,Grip
2025-09-25T19:38:49.442682,4066,3.277,Grip
2025-09-25T19:38:49.442937,228,0.184,Grip
2025-09-25T19:38:49.443141,4095,3.3,Grip
2025-09-25T19:38:49.446265,2356,1.899,Grip
